"","variety","treatment","23","31","38","39","45","46","52","55","56"
"W1-054","GmWMC108","W1",0.239387164553275,0.230114584958816,0.253565977969352,0.229646957339799,0.290122107652072,0.392907682711833,0.454536248818568,0.587826778639707,0.687379953773661
"W1-055","GmJMC056","W1",0.212395098925083,0.218846581446399,0.277687929142188,0.255207782691506,0.319734438455848,0.403791082440624,0.477514908353461,0.568084797107569,0.642298545413665
"W1-056","GmWMC166","W1",0.163375878358984,0.246432034185449,0.294360484048388,0.282910794178226,0.318839045693146,0.397218532554489,0.469451504296291,0.575738773345241,0.658045808540278
"W1-057","Houjaku Kuwazu","W1",0.269845701910076,0.365879051221372,0.603826342438448,0.600867972926979,0.669506229482159,0.695045728055733,0.735819886558147,0.742427910445783,0.742702201265938
"W1-058","GmWMC163","W1",0.22623499827941,0.269360915310239,0.535467471383998,0.454719407695352,0.494312033513876,0.550234400450833,0.60168644063366,0.58332578260892,0.655008625777895
"W1-059","GmJMC095","W1",0.280301894933667,0.370560255107408,0.405531563710357,0.436252211062148,0.551150985639218,0.588669323975223,0.670212171347734,0.730995193652849,0.735166546077248
"W1-060","GmJMC172","W1",0.238139125453746,0.288725733075035,0.518578738073587,0.516454085206109,0.640610193413886,0.684517823422881,0.746193519650465,0.762075379511927,0.754118039390294
"W1-061","GmJMC003","W1",0.240887521726123,0.264527823968336,0.420721739212374,0.398330326726944,0.41574255872258,0.438707095812074,0.473492608491421,0.478700002177331,0.521443787852425
"W1-062","GmWMC174","W1",0.185918779759168,0.205201639399588,0.278365637550582,0.294379943599109,0.327137592051318,0.413771379301017,0.57556337890928,0.636720601791634,0.708728432641724
"W1-063","GmJMC085","W1",0.289829258428036,0.370247919282731,0.468925357466871,0.464632758662213,0.587332143704759,0.67480769345671,0.7303183650559,0.76175756436979,0.779156859108816
"W1-064","GmJMC078","W1",0.254060218472732,0.279149276854816,0.36574826958264,0.379398679088353,0.500297739125996,0.548135924372907,0.661211515515491,0.690965537245396,0.716574469423223
"W1-065","GmJMC179","W1",0.281763538133801,0.348660228249407,0.505049089424148,0.528462177795876,0.662280301188364,0.680076383470716,0.736203739808696,0.756617169901856,0.759162020306801
"W1-066","GmWMC119","W1",0.276458486797321,0.374158372772441,0.584305348311727,0.5854230163781,0.61354237916228,0.661976082208196,0.6960518344294,0.724765628273736,0.738978319356157
"W1-067","GmJMC126","W1",0.279580038474458,0.37627189364507,0.435680993227256,0.430811861887686,0.543873796885403,0.617514038027571,0.677130946003002,0.724016291591144,0.752833422884835
"W1-068","GmWMC182","W1",0.194127785297861,0.19427633996315,0.292711280331299,0.271597337220508,0.316628588150165,0.424038571379629,0.574232393899971,0.660753627750361,0.719710189680511
"W1-069","GmWMC019","W1",0.25996105114282,0.329985899417587,0.380598258209952,0.398088357779542,0.477087200029456,0.517811588757268,0.5647523462989,0.551302968054374,0.604389465777775
"W1-070","GmJMC177","W1",0.28488512240216,0.348941985333795,0.54078083972002,0.528230951635069,0.629382539296045,0.675036275204415,0.721725822518316,0.745328719640367,0.748485311584857
"W1-071","GmWMC127","W1",0.229563309642601,0.234033120731936,0.423986133408363,0.40513739608742,0.595158178691757,0.644776550673837,0.735082310127836,0.763446617125341,0.751078083737411
"W1-072","GmWMC115","W1",0.29264371200359,0.308015938035239,0.397350295181761,0.422413385111196,0.48043167298468,0.523450660915807,0.537324967406314,0.545915113425304,0.585573593983364
"W1-073","GmWMC038","W1",0.153047639663199,0.180935802491872,0.247226417305434,0.258517910892855,0.271019842013665,0.327582309393779,0.309845376175147,0.347861369984523,0.435072406217983
"W1-074","GmJMC021","W1",0.272118123342759,0.276022363419672,0.39778076026275,0.383602698901593,0.414862594413591,0.474105089580589,0.556578992543819,0.589466402529458,0.628517134662505
"W1-075","GmWMC160","W1",0.148102109671195,0.19515801924816,0.2548627062269,0.256224131125769,0.313229372275511,0.367047766867326,0.439219256496292,0.499884054699572,0.59485821229989
