"","variety","treatment","23","31","38","39","45","46","52","55","56"
"W1-108","GmWMC029","W1",-0.220400345470606,-0.324102249738712,-0.0353306264784402,-0.0568197834080647,-0.0199899442322565,0.0208294684381058,0.0659172526490475,0.0717064243853313,0.0704920150025884
"W1-109","GmWMC142","W1",-0.219973447222261,-0.333731499419578,-0.0797795088983168,-0.0999408802730401,-0.0562647919463068,0.0101045063219539,0.0742528909116921,0.0907809109228331,0.079992739932156
"W1-110","GmJMC031","W1",-0.124326611691445,-0.331311064969824,-0.0515118355823454,-0.0773423121738669,-0.05741575089942,0.0116793523475372,0.0430986322415648,0.054395578920415,0.0708621362141869
"W1-111","GmJMC105","W1",-0.163311331831651,-0.310686204004399,-0.0279103859611804,-0.050064281694877,-0.0459374599648765,0.0288148825823085,0.0633317913852773,0.0678167282686673,0.086335428156283
"W1-112","GmJMC069","W1",-0.161291381029161,-0.337424056689486,-0.0781961669007154,-0.0700480880584402,-0.080894521623406,-0.00207367846241353,0.0390820271089123,0.0649469704809563,0.0811949942926245
"W1-113","GmWMC150","W1",-0.222958204856576,-0.407701536094458,-0.068102057779988,-0.0935129775497266,-0.116214173834914,-0.0142950518595118,0.04108322902689,0.0569158419600308,0.068943132693642
"W1-114","GmWMC083","W1",-0.199430020735835,-0.413577508928448,-0.103945540163541,-0.147360785710685,-0.118519214634596,-0.0299482916414672,0.00530562759608866,0.0176307161092726,0.0427495855574928
"W1-115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-116","GmWMC151","W1",-0.14936847023859,-0.32343292546991,-0.0619257530101135,-0.0669906684787867,-0.033017338368023,0.0355949782341663,0.0709634407582397,0.0764796479839745,0.0959573036269426
"W1-117","GmWMC010","W1",-0.142646303075168,-0.420595218725368,-0.171873569945571,-0.19220152813202,-0.264300695525626,-0.122029713141497,-0.180683801709755,-0.183643756021384,-0.117936753853183
"W1-118","GmJMC016","W1",-0.0752244927229184,-0.316413227134528,0.0039974875837345,-0.041406794340265,-0.0252040668883935,0.0580362948517429,0.0476866231195191,0.0491112596678929,0.0735248602848519
"W1-119","GmWMC183","W1",-0.133129791148241,-0.36717630415254,-0.117124869999928,-0.12330195940315,-0.122327120413489,0.0014176287243001,0.00623800223803117,0.03554193911208,0.0675590377134293
"W1-120","GmWMC124","W1",-0.202009885736625,-0.374667018985282,-0.108017738096933,-0.0941003344742028,-0.0727196576515448,-0.0105839317370255,0.0304960258425684,0.0484086795997563,0.06461084999088
"W1-121","GmWMC123","W1",-0.0707335796636639,-0.334076760178389,-0.00636593912433304,-0.0202983308465595,-0.0162732706955879,0.051272913598569,0.0712601321087292,0.106530810983234,0.0977352442876521
"W1-122","GmJMC004","W1",-0.128569610650163,-0.328041117843524,-0.0183600986946017,-0.0578879001017962,-0.0705356242012753,0.0125758627811933,0.000682082719034567,0.00661602940261655,0.0444711553501524
"W1-123","GmJMC091","W1",-0.0782169049735403,-0.323070494538503,-0.0416510607497041,-0.0532866836372282,-0.0489026949061956,0.0420755717721932,0.0825893622372797,0.0865187096899055,0.0847743882159268
"W1-124","GmWMC129","W1",-0.221288867053812,-0.448495874531225,-0.152786121122987,-0.109266063413033,-0.16799211879978,-0.106519351555927,-0.0351994194170051,0.00522283524476193,0.0117457639355785
"W1-125","GmWMC012","W1",-0.0725265418972275,-0.367931365121498,-0.0363806175739426,-0.044547637889921,-0.0501672496509884,0.0368855324370474,0.0859208182371165,0.0765208909382989,0.106241635282576
"W1-126","GmWMC045","W1",-0.114084630180737,-0.397018149496914,-0.0620128676392963,-0.0712015959184605,-0.0846639787799231,-0.0258017362699118,0.0397490378029331,0.056790675727634,0.0757907723800128
"W1-127","GmJMC040","W1",-0.135387202332876,-0.3186846999615,-0.0773960545104085,-0.0614403450253121,-0.0596154557905818,-0.00725709318359303,0.0385402760016647,0.0438076011061196,0.0569086393899122
"W1-128","GmJMC079","W1",-0.107078301464332,-0.282735215204669,0.00021514415500235,-0.0126115621374636,-0.0165269473728937,0.0382985601073414,0.102828794033482,0.119040442056358,0.107117490977971
"W1-129","GmWMC018","W1",-0.256794007533315,-0.415578867655162,-0.049660684456474,-0.0891296829777263,-0.146402801567011,-0.0354850545671964,-0.0372144175948756,-0.0609822008096939,0.00391573519229778
"W1-130","GmWMC015","W1",-0.138380728764864,-0.297456977440537,-0.0410829969852303,-0.0506976882529223,-0.0335348414336113,0.0284251151210492,0.0512506675369895,0.071986208830424,0.0785699841130826
"W1-131","GmJMC102","W1",-0.152526355097751,-0.237667101472827,-0.0452104953415765,-0.0889157820501968,-0.0460509842426521,0.00118852204685881,0.0370479003165056,0.0573810411912706,0.0630638265389836
"W1-132","GmJMC043","W1",-0.0930733957774818,-0.345894027260941,-0.0487033719307853,-0.131401200796308,-0.0741123751857839,-0.026012145454137,-0.00211744235901254,0.0214094816654057,0.04320693962605
"W1-133","GmWMC066","W1",-0.0774000953468597,-0.299596661222254,-0.0692392038885611,-0.0879128849785617,-0.0397408346159741,-0.000143927141148604,0.0417338085004182,0.0612949607122727,0.0771251076780266
"W1-134","GmWMC073","W1",-0.121889324853254,-0.309544794613948,-0.0666286028087218,-0.141716817355855,-0.113440952065988,-0.0570212410708485,-0.0355351360596473,0.02427987292209,0.0446334089767156
"W1-135","GmWMC132","W1",-0.148126553380181,-0.320341780162469,-0.00559086050299823,-0.0324475493273043,-0.0119026051280234,0.030279927918337,0.066224658216838,0.0842372083439107,0.0941264552219401
"W1-136","GmWMC170","W1",-0.0594058734927141,-0.161573090539568,0.023206333765973,-0.00513346312699852,0.0275858504745615,0.0578433336008918,0.0977884513328814,0.103922857787436,0.10499150322262
"W1-137","GmJMC033","W1",-0.0236011184182191,-0.116495885656676,0.0312922821077886,0.0039185427381067,0.027720220735513,0.050026936443034,0.079790412557357,0.0765454513318715,0.0732382776910662
"W1-138","GmWMC144","W1",-0.0587967686157124,-0.196305052944903,-0.0249453471902533,-0.0474648634565177,-0.0187894571564573,0.012469547954091,0.0719455620138408,0.0664593219947386,0.0848263070950946
"W1-139","GmWMC118","W1",-0.0654843120800604,-0.0985721941461926,0.0297793711128097,0.00495859654872358,0.0605197478063501,0.0625590441178621,0.112363392420185,0.0985186057988244,0.114015157648959
"W1-140","GmJMC139","W1",-0.118052815853808,-0.0886876961421086,0.0372039774600785,0.00693723563433471,0.0549381460286102,0.0668188956391853,0.120303164033807,0.107416859299934,0.120572650461172
"W1-141","GmWMC171","W1",-0.0913584282171924,-0.103830364053066,0.023949846695497,-0.0106371195200187,0.0468494007645176,0.0611701208206384,0.0977690538534949,0.08833078767399,0.0832465616142169
"W1-142","GmJMC002","W1",-0.13906956466752,-0.0861823583573265,-0.0341096681766226,-0.0759660011392416,-0.0418557048232043,-0.00987323683276957,-0.0138177852641799,-0.0482893715131674,-0.0451054934381496
"W1-143","GmWMC048","W1",-0.171040462514549,-0.116052487939168,-0.0275919534306715,-0.0745290111540372,-0.0126476852475168,0.00817867622321011,0.0360297965363049,0.0344171250837484,0.0282786979593557
